field,cf,unit
QRUNOFF,8.640000000000001e07,tH2O/yr
FPSN,1.03772448e06,gC/yr
GPP,8.640000000000001e10,gC/yr
HR,8.640000000000001e10,gC/yr
AR,8.640000000000001e10,gC/yr
NPP,8.640000000000001e10,gC/yr
NBP,8.640000000000001e10,gC/yr
COL_FIRE_CLOSS,8.640000000000001e10,gC/yr
FCTR,3.4559999999999995e01,tH2O/yr
FCEV,3.4559999999999995e01,tH2O/yr
FGEV,3.4559999999999995e01,tH2O/yr
EFLX_LH_TOT,3.4559999999999995e01,tH2O/yr
QHR,8.640000000000001e07,tH2O/yr
QVEGT,8.640000000000001e07,tH2O/yr
QOVER,8.640000000000001e07,tH2O/yr
QDRAI,8.640000000000001e07,tH2O/yr
FAREA_BURNED,0.0864,1e6km2
TWS,2.7397260273972605,tH2O
SOILWATER_10CM,intrinsic,mmH2O
TOTVEGC,2.7397260273972605e03,PgC
TOTSOMC_1m,2.7397260273972605e03,PgC
SNOWDP,intrinsic,m
TV,intrinsic,K
TSOI_10CM,intrinsic,K
TLAI,intrinsic,m^2/m^2
FSR,intrinsic,W/m^2
FSH,intrinsic,W/m^2
ALTMAX,7.684832124073767e-08,m
NEE,8.640000000000001e10,PgC/yr
FSDS,intrinsic,W/m^2
TBOT,intrinsic,K
